stage,record,source_file,period_s,onset_shift_s,eligible_late_windows,median_late_A80_percentage_points,late_A80_CV_percent
Phase3 outward,Rect80_concave,Concave_sensor_tests_Origin_simple.xlsx,1.19,-0.1,50,9.908878449175436,8.748207630512502
Phase3 outward,Rect80_concave,Concave_sensor_tests_Origin_simple.xlsx,1.19,0.0,50,9.89116545320936,8.420073202554885
Phase3 outward,Rect80_concave,Concave_sensor_tests_Origin_simple.xlsx,1.19,0.1,50,9.9197396234554,8.24751418757283
Phase3 outward,Rect80_concave,Concave_sensor_tests_Origin_simple.xlsx,1.2,-0.1,49,9.873225514087903,8.654074562542972
Phase3 outward,Rect80_concave,Concave_sensor_tests_Origin_simple.xlsx,1.2,0.0,50,9.931975831961758,8.61913879383118
Phase3 outward,Rect80_concave,Concave_sensor_tests_Origin_simple.xlsx,1.2,0.1,49,9.873225514087903,8.52836929463816
Phase3 outward,Rect80_concave,Concave_sensor_tests_Origin_simple.xlsx,1.21,-0.1,48,9.87113053386689,9.082594732425084
Phase3 outward,Rect80_concave,Concave_sensor_tests_Origin_simple.xlsx,1.21,0.0,48,9.877509600838728,8.96025323895141
Phase3 outward,Rect80_concave,Concave_sensor_tests_Origin_simple.xlsx,1.21,0.1,48,9.835350199069339,8.315696269777487
Phase3 outward,Rect100_concave,Concave_sensor_tests_Origin_simple.xlsx,1.19,-0.1,50,3.213200408787589,18.35154383089365
Phase3 outward,Rect100_concave,Concave_sensor_tests_Origin_simple.xlsx,1.19,0.0,50,3.2565356717954432,16.825959659284653
Phase3 outward,Rect100_concave,Concave_sensor_tests_Origin_simple.xlsx,1.19,0.1,50,3.212587927042535,17.2629666382879
Phase3 outward,Rect100_concave,Concave_sensor_tests_Origin_simple.xlsx,1.2,-0.1,49,3.2462639093854646,19.83713632886351
Phase3 outward,Rect100_concave,Concave_sensor_tests_Origin_simple.xlsx,1.2,0.0,50,3.1926571612403314,18.67090029289268
Phase3 outward,Rect100_concave,Concave_sensor_tests_Origin_simple.xlsx,1.2,0.1,49,3.1706661214416894,14.769894901047302
Phase3 outward,Rect100_concave,Concave_sensor_tests_Origin_simple.xlsx,1.21,-0.1,48,3.2248989498150937,16.459618355355627
Phase3 outward,Rect100_concave,Concave_sensor_tests_Origin_simple.xlsx,1.21,0.0,48,3.1400932447888708,16.142391155154343
Phase3 outward,Rect100_concave,Concave_sensor_tests_Origin_simple.xlsx,1.21,0.1,48,3.227667020696725,15.672072341549407
Fabric,Grid80_standard,Fabric_sensor_tests_Origin_simple.xlsx,1.19,-0.1,50,4.637095593745638,21.89262607195634
Fabric,Grid80_standard,Fabric_sensor_tests_Origin_simple.xlsx,1.19,0.0,50,4.731844827359692,22.645532477219543
Fabric,Grid80_standard,Fabric_sensor_tests_Origin_simple.xlsx,1.19,0.1,50,4.752659959979944,21.72546066512726
Fabric,Grid80_standard,Fabric_sensor_tests_Origin_simple.xlsx,1.2,-0.1,49,4.716403380003632,21.70100266766528
Fabric,Grid80_standard,Fabric_sensor_tests_Origin_simple.xlsx,1.2,0.0,50,4.621695706570033,23.432853210529526
Fabric,Grid80_standard,Fabric_sensor_tests_Origin_simple.xlsx,1.2,0.1,49,4.756607463584812,19.547280769469197
Fabric,Grid80_standard,Fabric_sensor_tests_Origin_simple.xlsx,1.21,-0.1,48,4.76705545930511,17.73615414527626
Fabric,Grid80_standard,Fabric_sensor_tests_Origin_simple.xlsx,1.21,0.0,48,4.764697189139296,18.87448148845548
Fabric,Grid80_standard,Fabric_sensor_tests_Origin_simple.xlsx,1.21,0.1,48,4.760812658896588,20.16021663133213
Fabric,Grid80_concave,Fabric_sensor_tests_Origin_simple.xlsx,1.19,-0.1,50,5.54882036087608,12.11571815288348
Fabric,Grid80_concave,Fabric_sensor_tests_Origin_simple.xlsx,1.19,0.0,50,5.575337573233366,14.37609608190012
Fabric,Grid80_concave,Fabric_sensor_tests_Origin_simple.xlsx,1.19,0.1,50,5.670102895107628,12.775037529761413
Fabric,Grid80_concave,Fabric_sensor_tests_Origin_simple.xlsx,1.2,-0.1,49,5.675271373257411,11.993305815354177
Fabric,Grid80_concave,Fabric_sensor_tests_Origin_simple.xlsx,1.2,0.0,50,5.622124480071509,10.87676801045513
Fabric,Grid80_concave,Fabric_sensor_tests_Origin_simple.xlsx,1.2,0.1,49,5.6235721078280285,11.231736941521296
