start_s,end_s,displacement_mm,duration_s,sample,cycle,phase,alignment_offset_s,R_median_ohm,R_MAD_ohm,plateau_observations,dR_R0_pct,robust_noise_pct_R
295.242,305.179,0.5,9.936999999999955,2,2,Unloading,20.200000000000003,3782.54717,18.511623999999756,60,4.304465308095307,0.725578096158934
306.109,346.05,0.1,39.94100000000003,2,2,Unloading,20.200000000000003,3804.88959,11.188803000000007,60,4.920561834338742,0.43597899322487327
346.98,356.918,0.5,9.937999999999988,2,3,Loading,20.200000000000003,3738.28125,10.980157999999847,60,3.083824055134831,0.435472377868834
358.049,367.979,1.0,9.930000000000007,2,3,Loading,20.200000000000003,3674.710142,9.010788000000048,60,1.3308385321590024,0.36354960724954155
369.11,379.052,1.5,9.942000000000007,2,3,Loading,20.200000000000003,3694.565217,14.451580999999805,60,1.8783460419006783,0.5799305935110175
380.183,390.12,2.0,9.937000000000012,2,3,Loading,20.200000000000003,3700.00047,9.065023999999994,60,2.0282241881603142,0.3632379155454537
391.251,401.191,2.5,9.939999999999998,2,3,Loading,20.200000000000003,3698.187468,14.466538000000128,60,1.9782303095083016,0.57996219565363
402.321,412.261,3.0,9.939999999999998,2,3,Loading,20.200000000000003,3727.301092,10.96305499999994,60,2.781044087637852,0.43607492235832257
413.371,423.335,2.5,9.963999999999999,2,3,Unloading,20.200000000000003,3644.244604,10.68893399999979,60,0.4907454656094974,0.4348614121841666
424.466,434.401,2.0,9.935000000000002,2,3,Unloading,20.200000000000003,3658.547889,10.732978999999887,60,0.8851612989153635,0.4349461903517489
435.532,445.472,1.5,9.939999999999998,2,3,Unloading,20.200000000000003,3653.177718,12.499751999999717,60,0.737077801316035,0.5072880036437247
446.603,456.539,1.0,9.935999999999979,2,3,Unloading,20.200000000000003,3662.132921,10.777296000000206,60,0.9840192454436039,0.4363145575075729
457.669,467.599,0.5,9.930000000000007,2,3,Unloading,20.200000000000003,3754.8164555000003,9.19601750000038,60,3.5397855252563013,0.3631073770737756
468.529,508.477,0.1,39.94799999999998,2,3,Unloading,20.200000000000003,3793.700787,7.455281999999897,60,4.6120284408602386,0.2913566913625929
509.407,519.346,0.5,9.939000000000021,2,4,Loading,20.200000000000003,3705.443235,7.27082799999971,60,2.1783094792639384,0.2909160634544053
520.477,530.42,1.0,9.942999999999984,2,4,Loading,20.200000000000003,3716.35514,14.57193200000006,60,2.4792073571660733,0.5813315888642464
531.551,541.491,1.5,9.93999999999994,2,4,Loading,20.200000000000003,3738.28125,12.823562999999922,60,3.083824055134831,0.5085817045948557
542.622,552.559,2.0,9.937000000000012,2,4,Loading,20.200000000000003,3709.076763,18.224329000000125,60,2.278504712314258,0.7284667291044735
553.69,563.633,2.5,9.942999999999984,2,4,Loading,20.200000000000003,3687.331954,10.82188700000006,60,1.6788874242708578,0.4351257187136368
564.763,574.703,3.0,9.93999999999994,2,4,Loading,20.200000000000003,3762.190187,11.066397999999936,60,3.743117588775008,0.43610346259190597
575.813,585.772,2.5,9.95900000000006,2,4,Unloading,20.200000000000003,3671.112148,8.979227000000265,60,1.2316231559891637,0.3626313066315072
586.903,596.842,2.0,9.938999999999965,2,4,Unloading,20.200000000000003,3644.244604,10.68893399999979,60,0.4907454656094974,0.4348614121841666
597.973,607.911,1.5,9.937999999999988,2,4,Unloading,20.200000000000003,3622.89959,10.656080000000202,60,-0.09784739845881983,0.4360789973756987
609.042,618.977,1.0,9.934999999999945,2,4,Unloading,20.200000000000003,3665.721649,25.043682999999874,60,1.0829791098823092,1.0128909931262435
620.107,630.046,0.5,9.939000000000078,2,4,Unloading,20.200000000000003,3730.957336,10.957335999999941,60,2.8818657187547245,0.4354203195209068
630.976,670.919,0.1,39.942999999999984,2,4,Unloading,20.200000000000003,3707.259999,9.08383600000002,60,2.228407095789092,0.36327895149605954
671.849,681.783,0.5,9.933999999999969,2,5,Loading,20.200000000000003,3669.314079,7.195987999999943,60,1.1820410576826261,0.2907565713673516
682.914,692.869,1.0,9.955000000000041,2,5,Loading,20.200000000000003,3680.113636,18.07383200000004,60,1.4798409178888055,0.728136845043881
694.0,703.939,1.5,9.938999999999965,2,5,Loading,20.200000000000003,3680.113636,19.886833999999908,60,1.4798409178888055,0.801176893017003
705.07,715.013,2.0,9.942999999999984,2,5,Loading,20.200000000000003,3730.957336,18.290856000000076,60,2.8818657187547245,0.7268381989774677
716.144,726.081,2.5,9.937000000000012,2,5,Loading,20.200000000000003,3716.35514,27.215805499999988,60,2.4792073571660733,1.085745353020809
727.211,737.147,3.0,9.936000000000035,2,5,Loading,20.200000000000003,3687.331954,18.017875000000004,60,1.6788874242708578,0.7244615295897496
738.257,748.221,2.5,9.964000000000055,2,5,Unloading,20.200000000000003,3589.3708275,8.77001250000012,60,-1.022409469420284,0.36224790241459603
749.352,759.283,2.0,9.93100000000004,2,5,Unloading,20.200000000000003,3556.164384,12.168686500000149,60,-1.938083531999377,0.5073245400598506
